place_id,name,address,lat,lng,rating,review_count,business_status,types,search_term,city,keep
ChIJl_AQCKuzRIYR15EDWIreSH4,Urban Air Trampoline and Adventure Park,"4500 S Pleasant Valley Rd Bldg. 1 Suite #106, Austin, TX 78744, USA",30.205957700000003,-97.745776,4,1106,OPERATIONAL,"amusement_park, playground, video_arcade, amusement_center, adventure_sports_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Austin Texas,Austin,TRUE
ChIJN9BBA64yW4YRWij8GPJwgrQ,Urban Air Trampoline and Adventure Park,"13201 Ranch to Market Rd 620, Austin, TX 78717, USA",30.467426799999995,-97.7941423,3.8,1133,OPERATIONAL,"amusement_park, playground, video_arcade, amusement_center, adventure_sports_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Austin Texas,Austin,TRUE
ChIJ8yX8wM03W4YRB_xgHk4b4Tw,Urban Air Trampoline and Adventure Park,"3944 Ranch Rd 620 S Bldg. 5, Bee Cave, TX 78738, USA",30.310989300000003,-97.9474945,4.2,449,OPERATIONAL,"amusement_park, playground, amusement_center, adventure_sports_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Austin Texas,Bee Cave,TRUE
ChIJv3a6i5gyW4YRNhT2fPHJ8X8,Inflatable Wonderland,"11200 Lakeline Mall Dr, Cedar Park, TX 78613, USA",30.4693406,-97.8076009,4.7,1138,OPERATIONAL,"video_arcade, playground, point_of_interest, establishment",trampoline park Cedar Park Texas,Cedar Park,FALSE
ChIJrTnoB8coW4YRwx-D1GJcoNI,Freedom Fun USA,"15122 Honeycomb Dr, Leander, TX 78641, USA",30.576773,-97.93259,5,487,OPERATIONAL,"movie_theater, event_venue, point_of_interest, store, establishment",trampoline park Cedar Park Texas,Leander,FALSE
ChIJEfTg4pFKW4YRbeiSfTGVdQY,Tumble Tech,"1301 Toro Grande Blvd, Cedar Park, TX 78613, USA",30.541771999999998,-97.777411,4.3,119,OPERATIONAL,"gym, sports_complex, sports_activity_location, sports_club, point_of_interest, health, establishment",trampoline park Cedar Park Texas,Cedar Park,TRUE
ChIJaTYvJ6hZXIYRGw13vsvoqlk,The Rush Fun Park,"114 SW Military Dr, San Antonio, TX 78221, USA",29.3556577,-98.4915353,4.2,350,OPERATIONAL,"amusement_park, amusement_center, point_of_interest, establishment",trampoline park San Antonio Texas,San Antonio,TRUE
ChIJyQhyB4doXIYRQsdpycGoq7s,Urban Air Trampoline and Adventure Park,"11791 Bandera Rd Suite A, San Antonio, TX 78250, USA",29.5464892,-98.6681783,4.1,1123,OPERATIONAL,"amusement_park, adventure_sports_center, amusement_center, playground, sports_complex, sports_activity_location, point_of_interest, establishment",trampoline park San Antonio Texas,San Antonio,TRUE
ChIJXzmXERdhXIYRWoe-uD_yLxY,The Rush Fun Park,"14610 Huebner Rd, San Antonio, TX 78230, USA",29.572144599999998,-98.5457724,4,569,OPERATIONAL,"amusement_park, point_of_interest, establishment",trampoline park San Antonio Texas,San Antonio,TRUE
ChIJq1Nfu0BhXIYRvHpDehMdx_k,Kids Empire San Antonio Park North,"742 Northwest Loop 410 #109, San Antonio, TX 78216, USA",29.518124399999998,-98.504171,4.7,901,OPERATIONAL,"amusement_center, playground, point_of_interest, establishment",trampoline park San Antonio Texas,San Antonio,FALSE
